Keyword,Company,Job_title,City,State,,Salary,,
software developer,Ace Hardware Corporation,DevOps Software Engineering Lead,Oak Brook, IL,,$101K - $126K (Employer est.),,
software developer,Siemens,Jr. Software Developer - C#,Grand Prairie, TX,,$67K - $116K (Employer est.),,
software developer,Hertz,Software Engineer ll,San Francisco, CA,,$120K - $150K (Employer est.),,
software developer,UCLA,Software Developer,Los Angeles, CA,,$76K - $159K (Employer est.),,
software developer,Home Depot / THD,Senior Software Engineer (Remote),Atlanta, GA,,$127K - $180K (Employer est.),,
software developer,LeverX Group,JUNIOR .NET DEVELOPER,Georgia,,,,,
software developer,UKG,Associate Software Engineer,Santa Ana, CA,,$70K - $132K (Employer est.),,
software developer,"Epiq Systems, Inc.",Backend Engineer - Epiq AI Labs,New York, NY,,$67K - $135K (Employer est.),,
software developer,Naval Nuclear Laboratory,Experienced Software Developer,West Mifflin, PA,,$84K - $131K (Employer est.),,
software developer,Naval Nuclear Laboratory,Entry Level Computer/Software Engineer,Niskayuna, NY,,$62K - $95K (Employer est.),,
software developer,Solventum,Data science software developer,Murray, UT,,$137K - $168K (Employer est.),,
software developer,Delta Airlines,Senior Software Development Engineer,Atlanta, GA,,$117K - $147K (Glassdoor est.),,
software developer,Tesla,"Software Engineer, Document Systems",Fremont, CA,,$111K - $200K (Employer est.),,
software developer,Quinnox,Software Developer,Chicago, IL,,$149K (Employer est.),,
software developer,JPMorganChase,Experienced Software Engineer Java / Python (Full Stack or Back End),Columbus, OH,,,,
software developer,Microsoft,Software Engineer II,United States,,,$98K - $209K (Employer est.),,
software developer,kraken,Software Engineer II - Frontend,United States,,,$110K - $176K (Employer est.),,
software developer,"Kunz, Leigh & Associates",Full Stack Java Software Engineer - Remote,Remote,,,$80K - $110K (Employer est.),,
software developer,Dartmouth College,Full Stack Developer,Hanover, NH,,$115K - $144K (Employer est.),,
software developer,University of Virginia,Front-End Web Developer,Charlottesville, VA,,$70K - $80K (Employer est.),,
software developer,DataAnnotation,Software Developer - AI Trainer,Chicago, IL,,$40.00 Per Hour (Employer est.),,
software developer,DataAnnotation,Backend Software Engineer - AI Trainer,Chicago, IL,,$40.00 Per Hour (Employer est.),,
software developer,State Farm,Entry/Mid Level Software Engineer - Gosu/Guidewire/Java,United States,,,$86K - $212K (Employer est.),,
software developer,Disney Entertainment & ESPN Technology,Software Engineer II,San Francisco, CA,,$126K - $169K (Employer est.),,
software developer,"Myomo, Inc",Sr. Robotics Software Engineer,Boston, MA,,$101K - $158K (Glassdoor est.),,
software developer,Sumitomo Mitsui Banking Corporation,Developer (Associate),Jersey City, NJ,,$85K - $170K (Employer est.),,
software developer,Redfin,Software Engineer II,Seattle, WA,,$122K - $165K (Employer est.),,
software developer,Home Depot / THD,Staff Software Engineer (Remote),Atlanta, GA,,$165K - $190K (Employer est.),,
software developer,United Airlines,Software Developer - C++ Unix Linux,Chicago, IL,,$88K - $120K (Employer est.),,
software developer,Delta Airlines,Associate Software Development Engineer,Atlanta, GA,,$87K - $119K (Glassdoor est.),,
software developer,Benefit Allocation Systems,"Programmer (C#, Vue.js, & APIs)",King of Prussia, PA,,$62K - $112K (Glassdoor est.),,
software developer,BNY,"Senior Associate, Back-End Engineer",Pittsburgh, PA,,$82K - $129K (Glassdoor est.),,
software developer,Leidos,Embedded Software Developer,Huntsville, AL,,$85K - $154K (Employer est.),,
software developer,Quest Global,Firmware Developer – EC & UEFI Developer on Qualcomm ARM Platforms,Houston, TX,,$80K - $125K (Glassdoor est.),,
software developer,Warner Bros. Discovery,Software Engineer II,New York, NY,,$99K - $185K (Employer est.),,
software developer,Workday,Software Development Engineer- Data Engineer,Beaverton, OR,,$122K - $217K (Employer est.),,
software developer,CACI,Front End Software Developer (JavaScript),Chantilly, VA,,$72K - $148K (Employer est.),,
software developer,Victoria's Secret,Senior Applications Developer,Reynoldsburg, OH,,$139K - $150K (Employer est.),,
software developer,"Milestone Systems, Inc.",DevOps Engineer,United States,,,$117K - $172K (Employer est.),,
software developer,Oracle,Software Developer,Austin, TX,,$94K - $146K (Glassdoor est.),,
software developer,Covius,Senior Software Developer,Florida,,,$101K - $126K (Employer est.),,
software developer,CACI,AI Systems/Software Engineer,Virginia,,,$90K - $188K (Employer est.),,
software developer,Chubb,Software Engineer,Whitehouse Station, NJ,,$115K - $140K (Employer est.),,
software developer,Splunk,Software Engineer (Backend/Fullstack) - Early in Career,Colorado,,,$119K - $164K (Employer est.),,
software developer,DocuSign,Software Engineer,Chicago, IL,,$129K - $182K (Employer est.),,
software developer,Providence,Software Engineer I IS,Portland, OR,,$42.55 - $66.06 Per Hour (Employer est.),,
software developer,American Airlines,"Engineer/Sr Engineer, IT Software",Dallas, TX,,$92K - $130K (Glassdoor est.),,
software developer,Uncharted USA,Junior Developer,Remote,,,$67K - $73K (Employer est.),,
software developer,Oracle,Software Developer,Austin, TX,,$96K - $150K (Glassdoor est.),,
software developer,Delta Airlines,Software Development Engineer,Atlanta, GA,,$105K - $135K (Glassdoor est.),,
software developer,JPMorganChase,Software Engineer II,Jersey City, NJ,,$119K - $150K (Employer est.),,
software developer,Northwestern Mutual,Software Engineer,Milwaukee, WI,,$109K - $190K (Employer est.),,
software developer,Battelle,Junior Computer Engineer - Software Developer,Chantilly, VA,,$84K - $109K (Glassdoor est.),,
software developer,CACI,Cyber Software Engineer,Chantilly, VA,,$72K - $148K (Employer est.),,
software developer,ACA Group,Full Stack Developer,Chattanooga, TN,,,,
software developer,Princeton University,Research Software Engineer I,Princeton, NJ,,$78K - $116K (Glassdoor est.),,
software developer,Appfigures,Back End Developer (Mid Level),New York, NY,,$100K - $150K (Employer est.),,
software developer,TP ICAP,Senior Software Engineer,New York, NY,,$145K - $150K (Employer est.),,
software developer,Macquarie Group Limited,Senior Python/C++ Developer,New York, NY,,$140K - $170K (Employer est.),,
software developer,Savannah River Mission Completion,Software Developer or Senior Software Developer,Aiken, SC,,$67K - $149K (Employer est.),,
software developer,Oracle,Software Developer,United States,,,,,
software developer,Bellwood Labs,Lead Front-End React Engineer,Remote,,,$110K - $140K (Employer est.),,
software developer,Litera,Senior Software Engineer,North Carolina,,,$115K - $133K (Employer est.),,
software developer,Onward Search,Software Engineer,Camas, WA,,$60.00 - $63.00 Per Hour (Employer est.),,
software developer,Naval Nuclear Laboratory,Entry Level Computer/Software Engineer,West Mifflin, PA,,$62K - $95K (Employer est.),,
software developer,Cast & Crew,Backend Software Engineer,New York, NY,,$140K - $150K (Employer est.),,
software developer,Adobe,Software Development Engineer,San Jose, CA,,$113K - $206K (Employer est.),,
software developer,Microsoft,Software Engineer,Mountain View, CA,,$82K - $175K (Employer est.),,
software developer,JPMorganChase,Experienced Software Engineer Java / Python (Full Stack or Back End),Plano, TX,,$112K - $151K (Glassdoor est.),,
software developer,New York University,Research Software Engineer,New York, NY,,$100K - $250K (Employer est.),,
