,Keyword,Job_title,Company,City,State,Mean_Salary,Remote,Rent Q4 2024,Vacancy Q4 2024,Median Monthly Rent,Electricity Price (cents per kWh),Internet Speed (Mbps),Average internet monthly payment,Annual Commute Cost,Remote Salary (Annual),In-Office Salary (Annual),Remote Work Expenses,In-Office Expenses,Total In-office salary,Total Remote salary
49,IT project manager,"IT Project Manager, Tier 1",Empire State,New York,New York,85000.0,0,,,,,,,10831.74,85000.0,85000.0,,,,
50,IT project manager,INFORMATION TECHNOLOGY SPECIALIST I,Department of Corrections & Rehabilitation,United States,,8000.0,0,,,,,,,,8000.0,8000.0,,,,
51,IT project manager,Implementation Project Manager I,ADP,Louisville,Kentucky,76000.0,0,19.6,12.0%,$783.00,12.48,261.8,79.56,,76000.0,76000.0,2302.56,,,78302.56
52,IT project manager,"Scrum Master, Junior",Booz Allen,Arlington,Virginia,71500.0,0,,,"$1,257.00",13.97,505.6,86.7,,71500.0,71500.0,2549.16,,,74049.16
53,IT project manager,Project Manager (I-III),Autonomous Solutions,Fort Worth,Texas,103500.0,0,,,,,,,5579.72,103500.0,103500.0,,,,
54,IT project manager,Technical Project Specialist I,University of Kentucky,Frankfort,Kentucky,62500.0,0,,,$783.00,12.48,261.8,79.56,,62500.0,62500.0,2302.56,,,64802.56
55,IT project manager,Integration Coordinator - Level I,AlignOps,Indianapolis,Indiana,56000.0,0,23.3,20.1%,,,,,4670.34,56000.0,56000.0,,46610.34,102610.34,
56,IT project manager,Information Systems Specialist I - Project Manager,Illinois Secretary of State,Springfield,Illinois,8000.0,0,,,,,,,,8000.0,8000.0,,,,
57,IT project manager,Scrum Master (Junior),MTH Consulting,Huntsville,Alabama,65000.0,0,,,$811.00,14.98,344.6,74.1,4951.76,65000.0,65000.0,2507.04,,,67507.04
58,IT project manager,Program Manager 1 IT (Supply Chain),"Garmin International, Inc.",Olathe,Kansas,135500.0,0,,,,,,,,135500.0,135500.0,,,,
59,IT project manager,Project Manager 1,The Church of Jesus Christ of Latter-day Saints,Salt Lake City,Utah,86000.0,0,26.0,24.2%,"$1,090.00",10.99,314.1,69.01,4143.37,86000.0,86000.0,2015.0400000000002,50943.37,136943.37,88015.04
60,IT project manager,Program/Project Manager I,First Division Consulting,Philadelphia,Pennsylvania,79000.0,0,30.8,19.4%,$958.00,17.02,430.8,84.33,6843.04,79000.0,79000.0,2850.12,62283.04,141283.04,81850.12
61,IT project manager,Project Manager - Level 1,"Equa, LLC",Waldorf,Maryland,83500.0,0,,,"$1,415.00",17.6,506.7,75.44,,83500.0,83500.0,2806.08,,,86306.08
62,IT project manager,Telehealth Project Manager I-Telehealth,The University of Mississippi Medical Center,Ridgeland,Mississippi,61500.0,0,,,,,,,,61500.0,61500.0,,,,
63,IT project manager,Project Manager Level 1,ProPhoenix Corporation,Moorestown,New Jersey,70500.0,0,,,"$1,368.00",17.69,427.8,82.79,,70500.0,70500.0,2904.0,,,73404.0
64,IT project manager,Assistant Project Manager,Amundson Group,Atlanta,Georgia,87500.0,0,33.6,18.9%,,,,,7289.35,87500.0,87500.0,,67769.35,155269.35,
65,IT project manager,Program Project Manager I,Vickers & Nolan Enterprises,Charleston,South Carolina,85000.0,0,32.6,16.1%,$918.00,14.21,373.4,74.17,,85000.0,85000.0,2424.7200000000003,,,87424.72
66,IT project manager,"Data Center Project Assistant , Critical Projects Implementation","Amazon Data Services, Inc.",Chantilly,Virginia,105000.0,0,,,"$1,257.00",13.97,505.6,86.7,,105000.0,105000.0,2549.16,,,107549.16
67,IT project manager,Project Manager I,Health Plan of San Mateo,South San Francisco,California,96000.0,0,,,,,,,,96000.0,96000.0,,,,
68,IT project manager,German Speaking Project Assistant (Entry-Level Project Manager),Wurth Line Craft North America,Vernon Hills,Illinois,60000.0,0,,,,,,,,60000.0,60000.0,,,,
69,IT project manager,Junior Scrum Master (TS/SCI),Maxar Technologies,Herndon,Virginia,117000.0,0,,,"$1,257.00",13.97,505.6,86.7,,117000.0,117000.0,2549.16,,,119549.16
70,IT project manager,"Project Manager I, Secret Clearance",Connexus Hub,Norco,California,132000.0,0,,,,,,,,132000.0,132000.0,,,,
71,IT project manager,Junior Business Program Manager,Foxconn Industrial Internet - FII,Austin,Texas,62500.0,0,45.7,27.9%,,,,,6365.46,62500.0,62500.0,,88625.46,151125.46000000002,
72,IT project manager,Project Manager I,Blue Star Partners LLC,Columbus,Ohio,,0,21.7,15.5%,,,,,4562.82,,,,43622.82,,
73,IT project manager,Project Manager/Specialist 1 (21036),HII,Fort Meade,Maryland,58000.0,0,,,"$1,415.00",17.6,506.7,75.44,,58000.0,58000.0,2806.08,,,60806.08
74,IT project manager,Project Manager I,1199SEIU Family of Funds,New York,New York,110000.0,0,,,,,,,10831.74,110000.0,110000.0,,,,
75,IT project manager,Project Manager I- II – Joints Division R&D,"Medacta USA, Inc.",Franklin,Tennessee,95500.0,0,,,,,,,,95500.0,95500.0,,,,
76,IT project manager,Product & Agile Manager - MNIT Division Manager 1,State of Minnesota,Saint Paul,Minnesota,,0,,,"$1,010.00",14.36,304.2,68.66,,,,2374.8,,,
77,IT project manager,Junior IT Project Manager,ManTech,Herndon,Virginia,107500.0,0,,,"$1,257.00",13.97,505.6,86.7,,107500.0,107500.0,2549.16,,,110049.16
78,IT project manager,Scrum Master (Junior),MTH Consulting,Chantilly,Virginia,72500.0,0,,,"$1,257.00",13.97,505.6,86.7,,72500.0,72500.0,2549.16,,,75049.16
79,IT project manager,Junior Technical Project Manager,Advantech USA,Downers Grove,Illinois,,0,,,,,,,,,,,,,
80,IT project manager,Assistant Delivery Lead/Scrum Master,AIG,Charlotte,North Carolina,118000.0,0,34.9,17.5%,,,,,5658.26,118000.0,118000.0,,68478.26,186478.26,
81,IT project manager,Project Manager 1,Quantaleap,Richmond,Virginia,96500.0,0,,,"$1,257.00",13.97,505.6,86.7,4570.38,96500.0,96500.0,2549.16,,,99049.16
82,IT project manager,Portfolio Project Manager I,DEPARTMENT OF INFORMATION RESOURCES,Austin,Texas,8000.0,0,45.7,27.9%,,,,,6365.46,8000.0,8000.0,,88625.46,96625.46,
83,IT project manager,Portfolio Project Manager I,DEPARTMENT OF INFORMATION RESOURCES,Austin,Texas,8000.0,0,45.7,27.9%,,,,,6365.46,8000.0,8000.0,,88625.46,96625.46,
84,IT project manager,Project Manager 1,"Salient CRGT, Inc",Fort Eustis,Virginia,77000.0,0,,,"$1,257.00",13.97,505.6,86.7,,77000.0,77000.0,2549.16,,,79549.16
85,IT project manager,Cleared Scrum Master Junior to SME (Top Secret),All Points Logistics,Huntsville,Alabama,90000.0,0,,,$811.00,14.98,344.6,74.1,4951.76,90000.0,90000.0,2507.04,,,92507.04
86,IT project manager,Project Manager I,"Power Systems Mfg., LLC",Jupiter,Florida,83000.0,0,,,"$1,218.00",15.28,322.3,83.25,,83000.0,83000.0,2649.24,,,85649.24
87,IT project manager,INFRASTRUCTURE PROJECT MANAGER I,City of New Orleans,New Orleans,Louisiana,72000.0,0,19.2,19.0%,,,,,4692.05,72000.0,72000.0,,39252.05,111252.05,
88,IT project manager,Assistant Project Manager,"CW Resources, Inc.",Minot AFB,North Dakota,11000.0,0,,,$828.00,10.5,244.3,56.42,,11000.0,11000.0,1811.04,,,12811.04
89,IT project manager,Assistant Project Manager,Scott Electric Company,Greensburg,Pennsylvania,72000.0,0,,,$958.00,17.02,430.8,84.33,,72000.0,72000.0,2850.12,,,74850.12
90,IT project manager,Program Manager I Tailored Systems,Draper,Cambridge,Massachusetts,145000.0,0,,,"$1,336.00",29.25,401.2,93.6,,145000.0,145000.0,4282.2,,,149282.2
91,IT project manager,Project Manager (Levels 1-3),"Goldbelt, Inc.",Fort Detrick,Maryland,130000.0,0,,,"$1,415.00",17.6,506.7,75.44,,130000.0,130000.0,2806.08,,,132806.08
92,IT project manager,ERP Administrator I,City of Hopewell,Hopewell,Virginia,77000.0,0,,,"$1,257.00",13.97,505.6,86.7,,77000.0,77000.0,2549.16,,,79549.16
93,IT project manager,Jr. Project Manager I,OBXtek Inc.,Scott Air Force Base,Illinois,67000.0,0,,,,,,,,67000.0,67000.0,,,,
94,IT project manager,Technical Manager Level 1,CyberLinx Solutions LLC,Annapolis Junction,Maryland,92000.0,0,,,"$1,415.00",17.6,506.7,75.44,,92000.0,92000.0,2806.08,,,94806.08
95,IT project manager,Program Manager I-Resiliency & Liability Lead,Information Technology Senior Management Forum,Atlanta,Georgia,128000.0,0,33.6,18.9%,,,,,7289.35,128000.0,128000.0,,67769.35,195769.35,
96,IT project manager,RF Spectrum Program Manager 1,HII,Annapolis Junction,Maryland,128000.0,0,,,"$1,415.00",17.6,506.7,75.44,,128000.0,128000.0,2806.08,,,130806.08
97,IT project manager,10101 - Disease Surveillance Product Manager I,The Fund for Public Health in New York City,Westcliffe,,107500.0,0,,,,,,,,107500.0,107500.0,,,,
98,IT project manager,"IT Project Manager, Associate",PG&E Corporation,Oakland,California,113000.0,0,,,,,,,8415.01,113000.0,113000.0,,,,
99,IT project manager,Senior Project Manager (IT),Erie Insurance,Erie,Pennsylvania,126500.0,0,,,$958.00,17.02,430.8,84.33,,126500.0,126500.0,2850.12,,,129350.12
100,IT project manager,Project Lead - Emerson DeltaV,Proconex,Philadelphia,Pennsylvania,120000.0,0,30.8,19.4%,$958.00,17.02,430.8,84.33,6843.04,120000.0,120000.0,2850.12,62283.04,182283.04,122850.12
101,IT project manager,Healthcare IT Project Manager/Business Analyst,Integrated Home Care Services,Remote,,80000.0,1,,,,,,,,80000.0,80000.0,,,,
102,IT project manager,Senior Project Manager,Ephesus Solutions,Mount Juliet,Tennessee,135000.0,0,,,,,,,,135000.0,135000.0,,,,
103,IT project manager,"Sr. Technical Project Manager, Team Lead (.NET / DevSecOps)",DriveCentric,Remote,,185000.0,1,,,,,,,,185000.0,185000.0,,,,
104,IT project manager,Project Manager / Tech / Automation / AI,EOAI,United States,,89500.0,0,,,,,,,,89500.0,89500.0,,,,
105,IT project manager,Stratascale Sr. Project Manager,Stratascale,Remote,,145000.0,1,,,,,,,,145000.0,145000.0,,,,
106,IT project manager,Technical Project Manager - Freelance,Urban Insight,Remote,,,1,,,,,,,,,,,,,
107,IT project manager,Senior Project Manager,The Hitch Group,Remote,,108000.0,1,,,,,,,,108000.0,108000.0,,,,
108,IT project manager,Deputy Project Manager,"Alutiiq, LLC",Artesia,New Mexico,88000.0,0,,,$857.00,14.14,288.7,68.46,,88000.0,88000.0,2348.64,,,90348.64
109,IT project manager,Project Manager 3,GlobeSync Tech,Remote,,140000.0,1,,,,,,,,140000.0,140000.0,,,,
110,IT project manager,Senior Client Delivery Project Manager (Debit) - Remote,Velera,Remote,,96500.0,1,,,,,,,,96500.0,96500.0,,,,
111,IT project manager,"Sr. Project Manager, Outbound Logistics",Tesla,Austin,Texas,92500.0,0,45.7,27.9%,,,,,6365.46,92500.0,92500.0,,88625.46,181125.46000000002,
112,IT project manager,Service Delivery Manager/Project Manager,Evolve Security,Remote,,80000.0,1,,,,,,,,80000.0,80000.0,,,,
113,IT project manager,IT Project Manager II,"Mercury Insurance Services, LLC",Remote,,121500.0,1,,,,,,,,121500.0,121500.0,,,,
114,IT project manager,Project Manager II,Kaiser Permanente,Downey,California,84000.0,0,,,,,,,,84000.0,84000.0,,,,
115,IT project manager,IT Project Manager II,Agua Caliente Casino • Resort • Spa,Rancho Mirage,California,98500.0,0,,,,,,,,98500.0,98500.0,,,,
116,IT project manager,Sr. IT Project Manager,"Cozzini Bros., Inc.",Chicago,Illinois,160000.0,0,27.3,18.8%,,,,,8319.68,160000.0,160000.0,,57459.68,217459.68,
117,IT project manager,Sr. MSP Project Engineer,Pacific Computer Consultants,Pittsburgh,Pennsylvania,115000.0,0,27.1,19.3%,$958.00,17.02,430.8,84.33,5205.47,115000.0,115000.0,2850.12,53985.47,168985.47,117850.12
118,IT project manager,Senior Project Manager,"Sensata Technologies, Inc.",Remote,,129500.0,1,,,,,,,,129500.0,129500.0,,,,
119,IT project manager,Senior Engineering Project Manager,GuROO,Warrenton,Virginia,150000.0,0,,,"$1,257.00",13.97,505.6,86.7,,150000.0,150000.0,2549.16,,,152549.16
120,IT project manager,Technical Project Manager 4,Tech Army,Remote,,,1,,,,,,,,,,,,,
121,IT project manager,"Manager, Scrum Master",CVS Health,Raleigh,North Carolina,125000.0,0,,,,,,,5262.66,125000.0,125000.0,,,,
122,IT project manager,Senior Associate Delivery Manager,DraftKings,Remote,,92000.0,1,,,,,,,,92000.0,92000.0,,,,
123,IT project manager,Senior IT Project Manager,CliftonLarsonAllen,Milwaukee,Wisconsin,111500.0,0,20.2,23.9%,,,,,3992.97,111500.0,111500.0,,40352.97,151852.97,
124,IT project manager,Sr. Project Manager (Remote),Govcio LLC,Remote,,120000.0,1,,,,,,,,120000.0,120000.0,,,,
125,IT project manager,Sr. Implementation Project Manager,Worldpay,Remote,,141000.0,1,,,,,,,,141000.0,141000.0,,,,
126,IT project manager,IT PMO Sr Analyst,Grainger,Lake Forest,Illinois,104000.0,0,,,,,,,,104000.0,104000.0,,,,
127,IT project manager,Senior Project Manager,MNS Group,United States,,125000.0,0,,,,,,,,125000.0,125000.0,,,,
