,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
67,IT project manager,Illinois Secretary of State,Information Systems Specialist I - Project Manager,"Springfield, IL",$6K - $10K (Employer est.),30d+,Entry-level,8000.0,0,Springfield,IL,8.0
68,IT project manager,MTH Consulting,Scrum Master (Junior),"Huntsville, AL",$60K - $70K (Employer est.),30d+,Entry-level,65000.0,0,Huntsville,AL,65.0
69,IT project manager,"Garmin International, Inc.",Program Manager 1 IT (Supply Chain),"Olathe, KS",$114K - $157K (Glassdoor est.),10d,Entry-level,135500.0,0,Olathe,KS,135.5
70,IT project manager,The Church of Jesus Christ of Latter-day Saints,Project Manager 1,"Salt Lake City, UT",$69K - $103K (Glassdoor est.),7d,Entry-level,86000.0,0,Salt Lake City,UT,86.0
71,IT project manager,First Division Consulting,Program/Project Manager I,"Philadelphia, PA",$79K (Employer est.),17d,Entry-level,79000.0,0,Philadelphia,PA,79.0
72,IT project manager,"Equa, LLC",Project Manager - Level 1,"Waldorf, MD",$67K - $100K (Glassdoor est.),30d+,Entry-level,83500.0,0,Waldorf,MD,83.5
73,IT project manager,The University of Mississippi Medical Center,Telehealth Project Manager I-Telehealth,"Ridgeland, MS",$50K - $73K (Glassdoor est.),30d+,Entry-level,61500.0,0,Ridgeland,MS,61.5
74,IT project manager,ProPhoenix Corporation,Project Manager Level 1,"Moorestown, NJ",$57K - $84K (Glassdoor est.),30d+,Entry-level,70500.0,0,Moorestown,NJ,70.5
75,IT project manager,Amundson Group,Assistant Project Manager,"Atlanta, GA",$80K - $95K (Employer est.),16d,Entry-level,87500.0,0,Atlanta,GA,87.5
76,IT project manager,Vickers & Nolan Enterprises,Program Project Manager I,"Charleston, SC",$70K - $100K (Glassdoor est.),28d,Entry-level,85000.0,0,Charleston,SC,85.0
77,IT project manager,"Amazon Data Services, Inc.","Data Center Project Assistant , Critical Projects Implementation","Chantilly, VA",$83K - $127K (Glassdoor est.),23d,Entry-level,105000.0,0,Chantilly,VA,105.0
78,IT project manager,Health Plan of San Mateo,Project Manager I,"South San Francisco, CA",$84K - $108K (Employer est.),30d+,Entry-level,96000.0,0,South San Francisco,CA,96.0
79,IT project manager,Wurth Line Craft North America,German Speaking Project Assistant (Entry-Level Project Manager),"Vernon Hills, IL",$55K - $65K (Employer est.),16d,Entry-level,60000.0,0,Vernon Hills,IL,60.0
80,IT project manager,Maxar Technologies,Junior Scrum Master (TS/SCI),"Herndon, VA",$88K - $146K (Employer est.),25d,Entry-level,117000.0,0,Herndon,VA,117.0
81,IT project manager,Connexus Hub,"Project Manager I, Secret Clearance","Norco, CA",$120K - $144K (Employer est.),15d,Entry-level,132000.0,0,Norco,CA,132.0
82,IT project manager,Foxconn Industrial Internet - FII,Junior Business Program Manager,"Austin, TX",$60K - $65K (Employer est.),15d,Entry-level,62500.0,0,Austin,TX,62.5
83,IT project manager,Blue Star Partners LLC,Project Manager I,"Columbus, OH",$25.00 - $30.00 Per Hour (Employer est.),30d+,Entry-level,,0,Columbus,OH,
85,IT project manager,HII,Project Manager/Specialist 1 (21036),"Fort Meade, MD",$55K - $61K (Employer est.),30d+,Entry-level,58000.0,0,Fort Meade,MD,58.0
86,IT project manager,1199SEIU Family of Funds,Project Manager I,"New York, NY",$98K - $122K (Employer est.),30d+,Entry-level,110000.0,0,New York,NY,110.0
88,IT project manager,"Medacta USA, Inc.",Project Manager I- II – Joints Division R&D,"Franklin, TN",$75K - $116K (Glassdoor est.),30d+,Entry-level,95500.0,0,Franklin,TN,95.5
89,IT project manager,State of Minnesota,Product & Agile Manager - MNIT Division Manager 1,"Saint Paul, MN",$55.53 - $79.61 Per Hour (Employer est.),17d,Entry-level,,0,Saint Paul,MN,
90,IT project manager,ManTech,Junior IT Project Manager,"Herndon, VA",$94K - $121K (Glassdoor est.),18d,Entry-level,107500.0,0,Herndon,VA,107.5
